screen_name,tweet_id,tweet_date,tweet_time,tweet,collecting_date,collecting_time,in_reply_to_status_id,not_reply,in_reply_to_screen_name
KenyaPower_Care,836945487534108672,2017/3/1,14:25:28,"Fault on KU Ex Ruiru(Kenyatta University,Clay city,part of Kahawa Wendani,Ruiru,Gatongora,Kihunguro and environs).Issue being addressed^CB",2017/3/1,12:18:3,,True,
KenyaPower_Care,836927619190910976,2017/3/1,13:14:28,"Kihara EX Kitisuru is off on fault affecting Mwimuto,wangige, Gathiga, Lower kabete campus,KIA and environs.Issue being addressed^CB",2017/3/1,12:18:3,,True,
KenyaPower_Care,836927161634287616,2017/3/1,13:12:39,"Fault on KU Ex Ruiru((Kenyatta University,Clay city,Ruiru,Gatongora,Kihunguro and environs).Issue being addressed^CB",2017/3/1,12:18:3,,True,
KenyaPower_Care,836818410763862016,2017/3/1,6:0:31,Good morning. Areas on shutdown ^LW https://t.co/1m4xXp5mRs,2017/3/1,12:18:3,,True,
KenyaPower_Care,836592552065265667,2017/2/28,15:3:2,"Fault on Town Ex Kikuyu(Wanyee farm,kikuyu town,Gikambura,Thogoto,Kidfarmaco,muthiga,UoN kikuyu campus).Being addressed^CB",2017/3/1,12:18:3,,True,
KenyaPower_Care,836570471193788416,2017/2/28,13:35:17,Power supply to Kitisuru 66kv Ex Nairobi North(kitisuru area and environs) is affected by a fault.Issue being addressed^CB,2017/3/1,12:18:3,,True,
KenyaPower_Care,836522105747419137,2017/2/28,10:23:6,Additional shutdowns ^LW https://t.co/xejLKOxM1x,2017/3/1,12:18:3,,True,
KenyaPower_Care,836481754412249089,2017/2/28,7:42:45,"Good morning,these are the areas on shutdown ^LW https://t.co/ldLBTld9f1",2017/3/1,12:18:3,,True,
KenyaPower_Care,836127048959672321,2017/2/27,8:13:17,"@EWambuaKindly allow us to follow with the office in charge,we regret the delay.^SO",2017/3/1,12:18:3,,True,
KenyaPower_Care,836098205108568066,2017/2/27,6:18:40,Morning. Kindly follow the link for areas on shutdown.^MM https://t.co/xBKm9pewtZ,2017/3/1,12:18:3,,True,
KenyaPower_Care,836053315238645760,2017/2/27,3:20:18,Utalii ex Ruaraka line-(sustained fault) affecting Pangani estate and immediate  environs. Restoration underway^JM,2017/3/1,12:18:3,,True,
KenyaPower_Care,836052782893391873,2017/2/27,3:18:11,"Airport ex Nairobi south is off (Broken Jumper)&gt;part New &amp; old Donholm,est,Greenfields, part ofT ena est,innercore &amp;adj. Work in progress^JM",2017/3/1,12:18:3,,True,
KenyaPower_Care,835917485316669440,2017/2/26,18:20:33,"Brookside ex Ruiru off  affecting Ruiru, Parts of KU, Brookside, Kihunguro, Gatongora, Mwihoko and Environs.Teams to attend ^JM",2017/3/1,12:18:3,,True,
