Unnamed: 0,unknown_area
,"['MUTHAIGA EX PARKLANDS FEEDER', '2013-05-02 09:00:00']"
,"['KENCELL FEEDER', '2013-05-06 09:00:00']"
,"['MUTHAIGA EX PARKLANDS FEEDER', '2013-05-02 09:00:00']"
,"['KENCELL FEEDER', '2013-05-06 09:00:00']"
,"['MUTHAIGA EX PARKLANDS FEEDER', '2013-05-02 09:00:00']"
,"['KENCELL FEEDER', '2013-05-06 09:00:00']"
,"['MUTHAIGA EX PARKLANDS FEEDER', '2013-05-02 09:00:00']"
,"['KENCELL FEEDER', '2013-05-06 09:00:00']"
,"['MUTHAIGA EX PARKLANDS FEEDER', '2013-05-02 09:00:00']"
,"['KENCELL FEEDER', '2013-05-06 09:00:00']"
,"['MUTHAIGA EX PARKLANDS FEEDER', '2013-05-02 09:00:00']"
,"['KENCELL FEEDER', '2013-05-06 09:00:00']"
,"['MUTHAIGA EX PARKLANDS FEEDER', datetime.datetime(2013, 5, 2, 9, 0)]"
,"['KENCELL FEEDER', datetime.datetime(2013, 5, 6, 9, 0)]"
,"['MUTHAIGA EX PARKLANDS FEEDER', datetime.datetime(2013, 5, 2, 9, 0)]"
,"['KENCELL FEEDER', datetime.datetime(2013, 5, 6, 9, 0)]"
,"['MUTHAIGA EX PARKLANDS FEEDER', datetime.datetime(2013, 5, 2, 9, 0)]"
,"['KENCELL FEEDER', datetime.datetime(2013, 5, 6, 9, 0)]"
,"['MUTHAIGA EX PARKLANDS FEEDER', datetime.datetime(2013, 5, 2, 9, 0)]"
,"['KENCELL FEEDER', datetime.datetime(2013, 5, 6, 9, 0)]"
,"['MUTHAIGA EX PARKLANDS FEEDER', datetime.datetime(2013, 5, 2, 9, 0)]"
,"['KENCELL FEEDER', datetime.datetime(2013, 5, 6, 9, 0)]"
,"['MUTHAIGA EX PARKLANDS FEEDER', datetime.datetime(2013, 5, 2, 9, 0)]"
,"['KENCELL FEEDER', datetime.datetime(2013, 5, 6, 9, 0)]"
,"['MUTHAIGA EX PARKLANDS FEEDER', datetime.datetime(2013, 5, 2, 9, 0)]"
,"['KENCELL FEEDER', datetime.datetime(2013, 5, 6, 9, 0)]"
,"['MUTHAIGA EX PARKLANDS FEEDER', datetime.datetime(2013, 5, 2, 9, 0)]"
,"['KENCELL FEEDER', datetime.datetime(2013, 5, 6, 9, 0)]"
,"['MUTHAIGA EX PARKLANDS FEEDER', datetime.datetime(2013, 5, 2, 9, 0)]"
,"['KENCELL FEEDER', datetime.datetime(2013, 5, 6, 9, 0)]"
,"['MUTHAIGA EX PARKLANDS FEEDER', datetime.datetime(2013, 5, 2, 9, 0)]"
,"['KENCELL FEEDER', datetime.datetime(2013, 5, 6, 9, 0)]"
,kaaaape
,kiambu
,kirigiti
,buruburu
,buruburu
,buruburu
,kahawa
,sukari
,matopeni
,kahawa sukari
,buruburu
,buruburu
,waa
,buruburu
,KANGOYA
,KIRIGITI
,IMARA DAIMA
,KPA
,GACHIE
,SUNTON
,RIDGEWAYS
,GARDEN ESTATE
,MUTHAIGA EX PARKLANDS FEEDER
,KENCELL FEEDER
,SAIKA FEEDER EX KOMAROCK
,"KANGOYA, Kenya"
,"KIRIGITI, Kenya"
,"IMARA DAIMA, Kenya"
,"KPA, Kenya"
,"karen, Kenya"
,"nyali, Kenya"
,"mombasa, Kenya"
,"nyali, Kenya"
,"thogoto, Kenya"
,"umoja, Kenya"
,"umoja, Kenya"
,"umoja 1, Kenya"
,"karen, Kenya"
,"tassia, Kenya"
,"kiambu, Kenya"
,"kirigiti, Kenya"
,"buruburu, Kenya"
,"buruburu, Kenya"
,"buruburu, Kenya"
,"kahawa, Kenya"
,"sukari, Kenya"
,"matopeni, Kenya"
,"kahawa sukari, Kenya"
,"SAIKA FEEDER EX KOMAROCK, Kenya"
,"GITHURAI 45 ESTATE, Kenya"
,"KENCELL FEEDER, Kenya"
,"MUTHAIGA EX PARKLANDS FEEDER, Kenya"
,aaaapek
0.0,cccppek
1.0,oooppqqq
